epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,59.1239,2.58683,1.74429,1.28784,0.05421,0.22222,0.06821,0.01699,3.14584,2.38567,1.445,0.0007724,0.0007724,0.0007724
64,60.0404,2.5132,1.79795,1.26146,0.18877,0.37037,0.19877,0.03838,3.09672,2.21375,1.41498,0.0007526,0.0007526,0.0007526
65,60.8735,2.56312,1.85275,1.23052,0.24875,0.48148,0.27944,0.05472,3.05418,2.16617,1.40776,0.0007328,0.0007328,0.0007328
66,61.7348,2.50198,1.70897,1.25844,0.18754,0.44444,0.24415,0.04877,3.01386,2.18503,1.39587,0.000713,0.000713,0.000713
67,62.6979,2.54808,1.76386,1.24778,0.20939,0.51852,0.18711,0.02916,3.02237,2.2669,1.397,0.0006932,0.0006932,0.0006932
68,63.6515,2.62759,1.72693,1.20404,0.04113,0.37037,0.04235,0.00843,3.3182,2.50397,1.46026,0.0006734,0.0006734,0.0006734
69,64.5961,2.53592,1.70958,1.27154,0.08437,0.22222,0.09461,0.0159,3.2077,2.4392,1.43247,0.0006536,0.0006536,0.0006536
70,65.9725,2.48194,1.74268,1.22191,0.23664,0.55556,0.25355,0.06254,2.74406,2.14835,1.31941,0.0006338,0.0006338,0.0006338
71,67.2411,2.50766,1.74196,1.26564,0.21595,0.62963,0.32173,0.11425,2.28308,1.96424,1.23172,0.000614,0.000614,0.000614
72,68.3435,2.5362,1.75519,1.26322,0.28054,0.66667,0.32607,0.11376,2.30891,1.91783,1.22781,0.0005942,0.0005942,0.0005942
73,69.2634,2.47786,1.8026,1.23802,0.23895,0.59259,0.29668,0.10812,2.31479,1.96389,1.23055,0.0005744,0.0005744,0.0005744
74,70.2458,2.56429,1.79514,1.24926,0.22462,0.51852,0.34458,0.12508,2.21745,1.94627,1.21294,0.0005546,0.0005546,0.0005546
75,71.2167,2.52178,1.65569,1.22966,0.25441,0.51815,0.3774,0.13477,2.20324,1.93687,1.20749,0.0005348,0.0005348,0.0005348
76,72.1284,2.47864,1.74077,1.25835,0.29027,0.55556,0.39892,0.13836,2.24699,1.95392,1.21623,0.000515,0.000515,0.000515
77,73.0345,2.42131,1.71377,1.19019,0.31014,0.62963,0.42992,0.14671,2.26634,1.9589,1.21722,0.0004952,0.0004952,0.0004952
78,74.0085,2.49925,1.78956,1.22521,0.30681,0.62963,0.44169,0.15958,2.23724,1.96743,1.2068,0.0004754,0.0004754,0.0004754
79,75.0547,2.58004,1.74375,1.23365,0.27642,0.59259,0.45333,0.15717,2.20031,1.95242,1.19901,0.0004556,0.0004556,0.0004556
80,76.0687,2.53249,1.74224,1.21333,0.31435,0.66667,0.47218,0.16417,2.17753,2.00316,1.20314,0.0004358,0.0004358,0.0004358
81,76.9822,2.43837,1.73422,1.26562,0.32041,0.7037,0.44318,0.14868,2.23898,2.03244,1.22161,0.000416,0.000416,0.000416
82,77.9331,2.47859,1.73046,1.18105,0.30914,0.66667,0.4487,0.13828,2.37756,2.02472,1.25721,0.0003962,0.0003962,0.0003962
83,78.8809,2.55463,1.65185,1.18039,0.27162,0.62963,0.43378,0.12919,2.47228,2.01494,1.28369,0.0003764,0.0003764,0.0003764
84,79.8688,2.33915,1.70354,1.22262,0.26564,0.74074,0.41853,0.10578,2.5481,2.05605,1.30102,0.0003566,0.0003566,0.0003566
85,80.747,2.37937,1.67571,1.19721,0.24505,0.76946,0.31971,0.08109,2.62325,2.12481,1.3213,0.0003368,0.0003368,0.0003368
86,81.6616,2.46145,1.78541,1.23312,0.21282,0.66667,0.29454,0.06782,2.6678,2.19259,1.33662,0.000317,0.000317,0.000317
87,82.5577,2.50414,1.71093,1.22615,0.24604,0.66667,0.40316,0.09153,2.62399,2.15939,1.32365,0.0002972,0.0002972,0.0002972
88,83.49,2.43051,1.69047,1.22303,0.29002,0.62963,0.52638,0.14416,2.52284,2.08551,1.30102,0.0002774,0.0002774,0.0002774
89,84.3906,2.42739,1.68046,1.19718,0.28242,0.62963,0.51087,0.15837,2.45029,2.04636,1.2842,0.0002576,0.0002576,0.0002576
90,85.2869,2.30509,1.66336,1.20536,0.28989,0.59259,0.45509,0.15103,2.36476,2.01539,1.25972,0.0002378,0.0002378,0.0002378
91,112.527,2.38473,1.63516,1.22159,0.26734,0.62963,0.39209,0.15424,2.30346,1.99134,1.23563,0.000218,0.000218,0.000218
92,113.598,2.15284,1.67323,1.16709,0.27758,0.77778,0.34023,0.14844,2.24598,2.0112,1.2271,0.0001982,0.0001982,0.0001982
93,114.729,1.99267,1.65413,1.12085,0.29768,0.77778,0.38811,0.12798,2.33868,2.02785,1.26245,0.0001784,0.0001784,0.0001784
94,115.952,2.00469,1.63884,1.11911,0.22003,0.74074,0.28771,0.09219,2.47335,2.13244,1.29297,0.0001586,0.0001586,0.0001586
95,116.886,2.10386,1.65105,1.14495,0.26799,0.77778,0.325,0.11395,2.37966,2.10894,1.26444,0.0001388,0.0001388,0.0001388
96,117.945,1.90464,1.58653,1.11428,0.28484,0.7037,0.37268,0.14134,2.23775,2.10585,1.20538,0.000119,0.000119,0.000119
97,118.899,2.06734,1.5955,1.14772,0.26278,0.7037,0.39775,0.15255,2.17667,2.11989,1.1896,9.92e-05,9.92e-05,9.92e-05
98,119.811,1.98224,1.54696,1.08265,0.33114,0.66667,0.51387,0.16434,2.22221,2.17622,1.19857,7.94e-05,7.94e-05,7.94e-05
99,120.791,1.90647,1.4846,1.11352,0.34379,0.62963,0.51582,0.1606,2.34376,2.2443,1.22395,5.96e-05,5.96e-05,5.96e-05
100,121.754,2.01835,1.53444,1.08412,0.34629,0.62963,0.51514,0.15238,2.35923,2.23913,1.22519,3.98e-05,3.98e-05,3.98e-05
